INPUT_TABLE,,,,,,
Variable ID,,,,,,
AgCoef,,,,,,
,,,,,,
region,AgSupplySector,AgSupplySubsector,AgProductionTechnology,year,minicam.energy.input,coefficient
Uruguay,Corn,Corn_BrzCstS,Corn_BrzCstS_IRR_hi,1975,water_td_irr_BrzCstS_W,1.03425876
Uruguay,Corn,Corn_BrzCstS,Corn_BrzCstS_IRR_hi,1990,water_td_irr_BrzCstS_W,1.03425876
Uruguay,Corn,Corn_BrzCstS,Corn_BrzCstS_IRR_hi,2005,water_td_irr_BrzCstS_W,1.03425876
Uruguay,Corn,Corn_BrzCstS,Corn_BrzCstS_IRR_hi,2010,water_td_irr_BrzCstS_W,1.03425876
Uruguay,Corn,Corn_BrzCstS,Corn_BrzCstS_IRR_hi,2015,water_td_irr_BrzCstS_W,1.03425876
Uruguay,Corn,Corn_BrzCstS,Corn_BrzCstS_IRR_hi,2020,water_td_irr_BrzCstS_W,1.03425876
Uruguay,Corn,Corn_BrzCstS,Corn_BrzCstS_IRR_hi,2025,water_td_irr_BrzCstS_W,1.03425876
Uruguay,Corn,Corn_BrzCstS,Corn_BrzCstS_IRR_hi,2030,water_td_irr_BrzCstS_W,1.03425876
Uruguay,Corn,Corn_BrzCstS,Corn_BrzCstS_IRR_hi,2035,water_td_irr_BrzCstS_W,1.03425876
Uruguay,Corn,Corn_BrzCstS,Corn_BrzCstS_IRR_hi,2040,water_td_irr_BrzCstS_W,1.03425876
Uruguay,Corn,Corn_BrzCstS,Corn_BrzCstS_IRR_hi,2045,water_td_irr_BrzCstS_W,1.03425876
Uruguay,Corn,Corn_BrzCstS,Corn_BrzCstS_IRR_hi,2050,water_td_irr_BrzCstS_W,1.03425876
Uruguay,Corn,Corn_BrzCstS,Corn_BrzCstS_IRR_hi,2055,water_td_irr_BrzCstS_W,1.03425876
Uruguay,Corn,Corn_BrzCstS,Corn_BrzCstS_IRR_hi,2060,water_td_irr_BrzCstS_W,1.03425876
Uruguay,Corn,Corn_BrzCstS,Corn_BrzCstS_IRR_hi,2065,water_td_irr_BrzCstS_W,1.03425876
Uruguay,Corn,Corn_BrzCstS,Corn_BrzCstS_IRR_hi,2070,water_td_irr_BrzCstS_W,1.03425876
Uruguay,Corn,Corn_BrzCstS,Corn_BrzCstS_IRR_hi,2075,water_td_irr_BrzCstS_W,1.03425876
Uruguay,Corn,Corn_BrzCstS,Corn_BrzCstS_IRR_hi,2080,water_td_irr_BrzCstS_W,1.03425876
Uruguay,Corn,Corn_BrzCstS,Corn_BrzCstS_IRR_hi,2085,water_td_irr_BrzCstS_W,1.03425876
Uruguay,Corn,Corn_BrzCstS,Corn_BrzCstS_IRR_hi,2090,water_td_irr_BrzCstS_W,1.03425876
Uruguay,Corn,Corn_BrzCstS,Corn_BrzCstS_IRR_hi,2095,water_td_irr_BrzCstS_W,1.03425876
Uruguay,Corn,Corn_BrzCstS,Corn_BrzCstS_IRR_hi,2100,water_td_irr_BrzCstS_W,1.03425876
Uruguay,Corn,Corn_BrzCstS,Corn_BrzCstS_IRR_lo,1975,water_td_irr_BrzCstS_W,1.03425876
Uruguay,Corn,Corn_BrzCstS,Corn_BrzCstS_IRR_lo,1990,water_td_irr_BrzCstS_W,1.03425876
Uruguay,Corn,Corn_BrzCstS,Corn_BrzCstS_IRR_lo,2005,water_td_irr_BrzCstS_W,1.03425876
Uruguay,Corn,Corn_BrzCstS,Corn_BrzCstS_IRR_lo,2010,water_td_irr_BrzCstS_W,1.03425876
Uruguay,Corn,Corn_BrzCstS,Corn_BrzCstS_IRR_lo,2015,water_td_irr_BrzCstS_W,1.03425876
Uruguay,Corn,Corn_BrzCstS,Corn_BrzCstS_IRR_lo,2020,water_td_irr_BrzCstS_W,1.03425876
Uruguay,Corn,Corn_BrzCstS,Corn_BrzCstS_IRR_lo,2025,water_td_irr_BrzCstS_W,1.03425876
Uruguay,Corn,Corn_BrzCstS,Corn_BrzCstS_IRR_lo,2030,water_td_irr_BrzCstS_W,1.03425876
Uruguay,Corn,Corn_BrzCstS,Corn_BrzCstS_IRR_lo,2035,water_td_irr_BrzCstS_W,1.03425876
Uruguay,Corn,Corn_BrzCstS,Corn_BrzCstS_IRR_lo,2040,water_td_irr_BrzCstS_W,1.03425876
Uruguay,Corn,Corn_BrzCstS,Corn_BrzCstS_IRR_lo,2045,water_td_irr_BrzCstS_W,1.03425876
Uruguay,Corn,Corn_BrzCstS,Corn_BrzCstS_IRR_lo,2050,water_td_irr_BrzCstS_W,1.03425876
Uruguay,Corn,Corn_BrzCstS,Corn_BrzCstS_IRR_lo,2055,water_td_irr_BrzCstS_W,1.03425876
Uruguay,Corn,Corn_BrzCstS,Corn_BrzCstS_IRR_lo,2060,water_td_irr_BrzCstS_W,1.03425876
Uruguay,Corn,Corn_BrzCstS,Corn_BrzCstS_IRR_lo,2065,water_td_irr_BrzCstS_W,1.03425876
Uruguay,Corn,Corn_BrzCstS,Corn_BrzCstS_IRR_lo,2070,water_td_irr_BrzCstS_W,1.03425876
Uruguay,Corn,Corn_BrzCstS,Corn_BrzCstS_IRR_lo,2075,water_td_irr_BrzCstS_W,1.03425876
Uruguay,Corn,Corn_BrzCstS,Corn_BrzCstS_IRR_lo,2080,water_td_irr_BrzCstS_W,1.03425876
Uruguay,Corn,Corn_BrzCstS,Corn_BrzCstS_IRR_lo,2085,water_td_irr_BrzCstS_W,1.03425876
Uruguay,Corn,Corn_BrzCstS,Corn_BrzCstS_IRR_lo,2090,water_td_irr_BrzCstS_W,1.03425876
Uruguay,Corn,Corn_BrzCstS,Corn_BrzCstS_IRR_lo,2095,water_td_irr_BrzCstS_W,1.03425876
Uruguay,Corn,Corn_BrzCstS,Corn_BrzCstS_IRR_lo,2100,water_td_irr_BrzCstS_W,1.03425876
Uruguay,Corn,Corn_RioLaPlata,Corn_RioLaPlata_IRR_hi,1975,water_td_irr_RioLaPlata_W,0.6380694
Uruguay,Corn,Corn_RioLaPlata,Corn_RioLaPlata_IRR_hi,1990,water_td_irr_RioLaPlata_W,0.6380694
Uruguay,Corn,Corn_RioLaPlata,Corn_RioLaPlata_IRR_hi,2005,water_td_irr_RioLaPlata_W,0.6380694
Uruguay,Corn,Corn_RioLaPlata,Corn_RioLaPlata_IRR_hi,2010,water_td_irr_RioLaPlata_W,0.6380694
Uruguay,Corn,Corn_RioLaPlata,Corn_RioLaPlata_IRR_hi,2015,water_td_irr_RioLaPlata_W,0.6380694
Uruguay,Corn,Corn_RioLaPlata,Corn_RioLaPlata_IRR_hi,2020,water_td_irr_RioLaPlata_W,0.6380694
Uruguay,Corn,Corn_RioLaPlata,Corn_RioLaPlata_IRR_hi,2025,water_td_irr_RioLaPlata_W,0.6380694
Uruguay,Corn,Corn_RioLaPlata,Corn_RioLaPlata_IRR_hi,2030,water_td_irr_RioLaPlata_W,0.6380694
Uruguay,Corn,Corn_RioLaPlata,Corn_RioLaPlata_IRR_hi,2035,water_td_irr_RioLaPlata_W,0.6380694
Uruguay,Corn,Corn_RioLaPlata,Corn_RioLaPlata_IRR_hi,2040,water_td_irr_RioLaPlata_W,0.6380694
Uruguay,Corn,Corn_RioLaPlata,Corn_RioLaPlata_IRR_hi,2045,water_td_irr_RioLaPlata_W,0.6380694
Uruguay,Corn,Corn_RioLaPlata,Corn_RioLaPlata_IRR_hi,2050,water_td_irr_RioLaPlata_W,0.6380694
Uruguay,Corn,Corn_RioLaPlata,Corn_RioLaPlata_IRR_hi,2055,water_td_irr_RioLaPlata_W,0.6380694
Uruguay,Corn,Corn_RioLaPlata,Corn_RioLaPlata_IRR_hi,2060,water_td_irr_RioLaPlata_W,0.6380694
Uruguay,Corn,Corn_RioLaPlata,Corn_RioLaPlata_IRR_hi,2065,water_td_irr_RioLaPlata_W,0.6380694
Uruguay,Corn,Corn_RioLaPlata,Corn_RioLaPlata_IRR_hi,2070,water_td_irr_RioLaPlata_W,0.6380694
Uruguay,Corn,Corn_RioLaPlata,Corn_RioLaPlata_IRR_hi,2075,water_td_irr_RioLaPlata_W,0.6380694
Uruguay,Corn,Corn_RioLaPlata,Corn_RioLaPlata_IRR_hi,2080,water_td_irr_RioLaPlata_W,0.6380694
Uruguay,Corn,Corn_RioLaPlata,Corn_RioLaPlata_IRR_hi,2085,water_td_irr_RioLaPlata_W,0.6380694
Uruguay,Corn,Corn_RioLaPlata,Corn_RioLaPlata_IRR_hi,2090,water_td_irr_RioLaPlata_W,0.6380694
Uruguay,Corn,Corn_RioLaPlata,Corn_RioLaPlata_IRR_hi,2095,water_td_irr_RioLaPlata_W,0.6380694
Uruguay,Corn,Corn_RioLaPlata,Corn_RioLaPlata_IRR_hi,2100,water_td_irr_RioLaPlata_W,0.6380694
Uruguay,Corn,Corn_RioLaPlata,Corn_RioLaPlata_IRR_lo,1975,water_td_irr_RioLaPlata_W,0.6380694
Uruguay,Corn,Corn_RioLaPlata,Corn_RioLaPlata_IRR_lo,1990,water_td_irr_RioLaPlata_W,0.6380694
Uruguay,Corn,Corn_RioLaPlata,Corn_RioLaPlata_IRR_lo,2005,water_td_irr_RioLaPlata_W,0.6380694
Uruguay,Corn,Corn_RioLaPlata,Corn_RioLaPlata_IRR_lo,2010,water_td_irr_RioLaPlata_W,0.6380694
Uruguay,Corn,Corn_RioLaPlata,Corn_RioLaPlata_IRR_lo,2015,water_td_irr_RioLaPlata_W,0.6380694
Uruguay,Corn,Corn_RioLaPlata,Corn_RioLaPlata_IRR_lo,2020,water_td_irr_RioLaPlata_W,0.6380694
Uruguay,Corn,Corn_RioLaPlata,Corn_RioLaPlata_IRR_lo,2025,water_td_irr_RioLaPlata_W,0.6380694
Uruguay,Corn,Corn_RioLaPlata,Corn_RioLaPlata_IRR_lo,2030,water_td_irr_RioLaPlata_W,0.6380694
Uruguay,Corn,Corn_RioLaPlata,Corn_RioLaPlata_IRR_lo,2035,water_td_irr_RioLaPlata_W,0.6380694
Uruguay,Corn,Corn_RioLaPlata,Corn_RioLaPlata_IRR_lo,2040,water_td_irr_RioLaPlata_W,0.6380694
Uruguay,Corn,Corn_RioLaPlata,Corn_RioLaPlata_IRR_lo,2045,water_td_irr_RioLaPlata_W,0.6380694
Uruguay,Corn,Corn_RioLaPlata,Corn_RioLaPlata_IRR_lo,2050,water_td_irr_RioLaPlata_W,0.6380694
Uruguay,Corn,Corn_RioLaPlata,Corn_RioLaPlata_IRR_lo,2055,water_td_irr_RioLaPlata_W,0.6380694
Uruguay,Corn,Corn_RioLaPlata,Corn_RioLaPlata_IRR_lo,2060,water_td_irr_RioLaPlata_W,0.6380694
Uruguay,Corn,Corn_RioLaPlata,Corn_RioLaPlata_IRR_lo,2065,water_td_irr_RioLaPlata_W,0.6380694
Uruguay,Corn,Corn_RioLaPlata,Corn_RioLaPlata_IRR_lo,2070,water_td_irr_RioLaPlata_W,0.6380694
Uruguay,Corn,Corn_RioLaPlata,Corn_RioLaPlata_IRR_lo,2075,water_td_irr_RioLaPlata_W,0.6380694
Uruguay,Corn,Corn_RioLaPlata,Corn_RioLaPlata_IRR_lo,2080,water_td_irr_RioLaPlata_W,0.6380694
Uruguay,Corn,Corn_RioLaPlata,Corn_RioLaPlata_IRR_lo,2085,water_td_irr_RioLaPlata_W,0.6380694
Uruguay,Corn,Corn_RioLaPlata,Corn_RioLaPlata_IRR_lo,2090,water_td_irr_RioLaPlata_W,0.6380694
Uruguay,Corn,Corn_RioLaPlata,Corn_RioLaPlata_IRR_lo,2095,water_td_irr_RioLaPlata_W,0.6380694
Uruguay,Corn,Corn_RioLaPlata,Corn_RioLaPlata_IRR_lo,2100,water_td_irr_RioLaPlata_W,0.6380694
Uruguay,MiscCrop,MiscCrop_BrzCstS,MiscCrop_BrzCstS_IRR_hi,1975,water_td_irr_BrzCstS_W,0.27383706
Uruguay,MiscCrop,MiscCrop_BrzCstS,MiscCrop_BrzCstS_IRR_hi,1990,water_td_irr_BrzCstS_W,0.27383706
Uruguay,MiscCrop,MiscCrop_BrzCstS,MiscCrop_BrzCstS_IRR_hi,2005,water_td_irr_BrzCstS_W,0.27383706
Uruguay,MiscCrop,MiscCrop_BrzCstS,MiscCrop_BrzCstS_IRR_hi,2010,water_td_irr_BrzCstS_W,0.27383706
Uruguay,MiscCrop,MiscCrop_BrzCstS,MiscCrop_BrzCstS_IRR_hi,2015,water_td_irr_BrzCstS_W,0.27383706
Uruguay,MiscCrop,MiscCrop_BrzCstS,MiscCrop_BrzCstS_IRR_hi,2020,water_td_irr_BrzCstS_W,0.27383706
Uruguay,MiscCrop,MiscCrop_BrzCstS,MiscCrop_BrzCstS_IRR_hi,2025,water_td_irr_BrzCstS_W,0.27383706
Uruguay,MiscCrop,MiscCrop_BrzCstS,MiscCrop_BrzCstS_IRR_hi,2030,water_td_irr_BrzCstS_W,0.27383706
Uruguay,MiscCrop,MiscCrop_BrzCstS,MiscCrop_BrzCstS_IRR_hi,2035,water_td_irr_BrzCstS_W,0.27383706
Uruguay,MiscCrop,MiscCrop_BrzCstS,MiscCrop_BrzCstS_IRR_hi,2040,water_td_irr_BrzCstS_W,0.27383706
Uruguay,MiscCrop,MiscCrop_BrzCstS,MiscCrop_BrzCstS_IRR_hi,2045,water_td_irr_BrzCstS_W,0.27383706
Uruguay,MiscCrop,MiscCrop_BrzCstS,MiscCrop_BrzCstS_IRR_hi,2050,water_td_irr_BrzCstS_W,0.27383706
Uruguay,MiscCrop,MiscCrop_BrzCstS,MiscCrop_BrzCstS_IRR_hi,2055,water_td_irr_BrzCstS_W,0.27383706
Uruguay,MiscCrop,MiscCrop_BrzCstS,MiscCrop_BrzCstS_IRR_hi,2060,water_td_irr_BrzCstS_W,0.27383706
Uruguay,MiscCrop,MiscCrop_BrzCstS,MiscCrop_BrzCstS_IRR_hi,2065,water_td_irr_BrzCstS_W,0.27383706
Uruguay,MiscCrop,MiscCrop_BrzCstS,MiscCrop_BrzCstS_IRR_hi,2070,water_td_irr_BrzCstS_W,0.27383706
Uruguay,MiscCrop,MiscCrop_BrzCstS,MiscCrop_BrzCstS_IRR_hi,2075,water_td_irr_BrzCstS_W,0.27383706
Uruguay,MiscCrop,MiscCrop_BrzCstS,MiscCrop_BrzCstS_IRR_hi,2080,water_td_irr_BrzCstS_W,0.27383706
Uruguay,MiscCrop,MiscCrop_BrzCstS,MiscCrop_BrzCstS_IRR_hi,2085,water_td_irr_BrzCstS_W,0.27383706
Uruguay,MiscCrop,MiscCrop_BrzCstS,MiscCrop_BrzCstS_IRR_hi,2090,water_td_irr_BrzCstS_W,0.27383706
Uruguay,MiscCrop,MiscCrop_BrzCstS,MiscCrop_BrzCstS_IRR_hi,2095,water_td_irr_BrzCstS_W,0.27383706
Uruguay,MiscCrop,MiscCrop_BrzCstS,MiscCrop_BrzCstS_IRR_hi,2100,water_td_irr_BrzCstS_W,0.27383706
Uruguay,MiscCrop,MiscCrop_BrzCstS,MiscCrop_BrzCstS_IRR_lo,1975,water_td_irr_BrzCstS_W,0.27383706
Uruguay,MiscCrop,MiscCrop_BrzCstS,MiscCrop_BrzCstS_IRR_lo,1990,water_td_irr_BrzCstS_W,0.27383706
Uruguay,MiscCrop,MiscCrop_BrzCstS,MiscCrop_BrzCstS_IRR_lo,2005,water_td_irr_BrzCstS_W,0.27383706
Uruguay,MiscCrop,MiscCrop_BrzCstS,MiscCrop_BrzCstS_IRR_lo,2010,water_td_irr_BrzCstS_W,0.27383706
Uruguay,MiscCrop,MiscCrop_BrzCstS,MiscCrop_BrzCstS_IRR_lo,2015,water_td_irr_BrzCstS_W,0.27383706
Uruguay,MiscCrop,MiscCrop_BrzCstS,MiscCrop_BrzCstS_IRR_lo,2020,water_td_irr_BrzCstS_W,0.27383706
Uruguay,MiscCrop,MiscCrop_BrzCstS,MiscCrop_BrzCstS_IRR_lo,2025,water_td_irr_BrzCstS_W,0.27383706
Uruguay,MiscCrop,MiscCrop_BrzCstS,MiscCrop_BrzCstS_IRR_lo,2030,water_td_irr_BrzCstS_W,0.27383706
Uruguay,MiscCrop,MiscCrop_BrzCstS,MiscCrop_BrzCstS_IRR_lo,2035,water_td_irr_BrzCstS_W,0.27383706
Uruguay,MiscCrop,MiscCrop_BrzCstS,MiscCrop_BrzCstS_IRR_lo,2040,water_td_irr_BrzCstS_W,0.27383706
Uruguay,MiscCrop,MiscCrop_BrzCstS,MiscCrop_BrzCstS_IRR_lo,2045,water_td_irr_BrzCstS_W,0.27383706
Uruguay,MiscCrop,MiscCrop_BrzCstS,MiscCrop_BrzCstS_IRR_lo,2050,water_td_irr_BrzCstS_W,0.27383706
Uruguay,MiscCrop,MiscCrop_BrzCstS,MiscCrop_BrzCstS_IRR_lo,2055,water_td_irr_BrzCstS_W,0.27383706
Uruguay,MiscCrop,MiscCrop_BrzCstS,MiscCrop_BrzCstS_IRR_lo,2060,water_td_irr_BrzCstS_W,0.27383706
Uruguay,MiscCrop,MiscCrop_BrzCstS,MiscCrop_BrzCstS_IRR_lo,2065,water_td_irr_BrzCstS_W,0.27383706
Uruguay,MiscCrop,MiscCrop_BrzCstS,MiscCrop_BrzCstS_IRR_lo,2070,water_td_irr_BrzCstS_W,0.27383706
Uruguay,MiscCrop,MiscCrop_BrzCstS,MiscCrop_BrzCstS_IRR_lo,2075,water_td_irr_BrzCstS_W,0.27383706
Uruguay,MiscCrop,MiscCrop_BrzCstS,MiscCrop_BrzCstS_IRR_lo,2080,water_td_irr_BrzCstS_W,0.27383706
Uruguay,MiscCrop,MiscCrop_BrzCstS,MiscCrop_BrzCstS_IRR_lo,2085,water_td_irr_BrzCstS_W,0.27383706
Uruguay,MiscCrop,MiscCrop_BrzCstS,MiscCrop_BrzCstS_IRR_lo,2090,water_td_irr_BrzCstS_W,0.27383706
Uruguay,MiscCrop,MiscCrop_BrzCstS,MiscCrop_BrzCstS_IRR_lo,2095,water_td_irr_BrzCstS_W,0.27383706
Uruguay,MiscCrop,MiscCrop_BrzCstS,MiscCrop_BrzCstS_IRR_lo,2100,water_td_irr_BrzCstS_W,0.27383706
Uruguay,MiscCrop,MiscCrop_RioLaPlata,MiscCrop_RioLaPlata_IRR_hi,1975,water_td_irr_RioLaPlata_W,0.13120524
Uruguay,MiscCrop,MiscCrop_RioLaPlata,MiscCrop_RioLaPlata_IRR_hi,1990,water_td_irr_RioLaPlata_W,0.13120524
Uruguay,MiscCrop,MiscCrop_RioLaPlata,MiscCrop_RioLaPlata_IRR_hi,2005,water_td_irr_RioLaPlata_W,0.13120524
Uruguay,MiscCrop,MiscCrop_RioLaPlata,MiscCrop_RioLaPlata_IRR_hi,2010,water_td_irr_RioLaPlata_W,0.13120524
Uruguay,MiscCrop,MiscCrop_RioLaPlata,MiscCrop_RioLaPlata_IRR_hi,2015,water_td_irr_RioLaPlata_W,0.13120524
Uruguay,MiscCrop,MiscCrop_RioLaPlata,MiscCrop_RioLaPlata_IRR_hi,2020,water_td_irr_RioLaPlata_W,0.13120524
Uruguay,MiscCrop,MiscCrop_RioLaPlata,MiscCrop_RioLaPlata_IRR_hi,2025,water_td_irr_RioLaPlata_W,0.13120524
Uruguay,MiscCrop,MiscCrop_RioLaPlata,MiscCrop_RioLaPlata_IRR_hi,2030,water_td_irr_RioLaPlata_W,0.13120524
Uruguay,MiscCrop,MiscCrop_RioLaPlata,MiscCrop_RioLaPlata_IRR_hi,2035,water_td_irr_RioLaPlata_W,0.13120524
Uruguay,MiscCrop,MiscCrop_RioLaPlata,MiscCrop_RioLaPlata_IRR_hi,2040,water_td_irr_RioLaPlata_W,0.13120524
Uruguay,MiscCrop,MiscCrop_RioLaPlata,MiscCrop_RioLaPlata_IRR_hi,2045,water_td_irr_RioLaPlata_W,0.13120524
Uruguay,MiscCrop,MiscCrop_RioLaPlata,MiscCrop_RioLaPlata_IRR_hi,2050,water_td_irr_RioLaPlata_W,0.13120524
Uruguay,MiscCrop,MiscCrop_RioLaPlata,MiscCrop_RioLaPlata_IRR_hi,2055,water_td_irr_RioLaPlata_W,0.13120524
Uruguay,MiscCrop,MiscCrop_RioLaPlata,MiscCrop_RioLaPlata_IRR_hi,2060,water_td_irr_RioLaPlata_W,0.13120524
Uruguay,MiscCrop,MiscCrop_RioLaPlata,MiscCrop_RioLaPlata_IRR_hi,2065,water_td_irr_RioLaPlata_W,0.13120524
Uruguay,MiscCrop,MiscCrop_RioLaPlata,MiscCrop_RioLaPlata_IRR_hi,2070,water_td_irr_RioLaPlata_W,0.13120524
Uruguay,MiscCrop,MiscCrop_RioLaPlata,MiscCrop_RioLaPlata_IRR_hi,2075,water_td_irr_RioLaPlata_W,0.13120524
Uruguay,MiscCrop,MiscCrop_RioLaPlata,MiscCrop_RioLaPlata_IRR_hi,2080,water_td_irr_RioLaPlata_W,0.13120524
Uruguay,MiscCrop,MiscCrop_RioLaPlata,MiscCrop_RioLaPlata_IRR_hi,2085,water_td_irr_RioLaPlata_W,0.13120524
Uruguay,MiscCrop,MiscCrop_RioLaPlata,MiscCrop_RioLaPlata_IRR_hi,2090,water_td_irr_RioLaPlata_W,0.13120524
Uruguay,MiscCrop,MiscCrop_RioLaPlata,MiscCrop_RioLaPlata_IRR_hi,2095,water_td_irr_RioLaPlata_W,0.13120524
Uruguay,MiscCrop,MiscCrop_RioLaPlata,MiscCrop_RioLaPlata_IRR_hi,2100,water_td_irr_RioLaPlata_W,0.13120524
Uruguay,MiscCrop,MiscCrop_RioLaPlata,MiscCrop_RioLaPlata_IRR_lo,1975,water_td_irr_RioLaPlata_W,0.13120524
Uruguay,MiscCrop,MiscCrop_RioLaPlata,MiscCrop_RioLaPlata_IRR_lo,1990,water_td_irr_RioLaPlata_W,0.13120524
Uruguay,MiscCrop,MiscCrop_RioLaPlata,MiscCrop_RioLaPlata_IRR_lo,2005,water_td_irr_RioLaPlata_W,0.13120524
Uruguay,MiscCrop,MiscCrop_RioLaPlata,MiscCrop_RioLaPlata_IRR_lo,2010,water_td_irr_RioLaPlata_W,0.13120524
Uruguay,MiscCrop,MiscCrop_RioLaPlata,MiscCrop_RioLaPlata_IRR_lo,2015,water_td_irr_RioLaPlata_W,0.13120524
Uruguay,MiscCrop,MiscCrop_RioLaPlata,MiscCrop_RioLaPlata_IRR_lo,2020,water_td_irr_RioLaPlata_W,0.13120524
Uruguay,MiscCrop,MiscCrop_RioLaPlata,MiscCrop_RioLaPlata_IRR_lo,2025,water_td_irr_RioLaPlata_W,0.13120524
Uruguay,MiscCrop,MiscCrop_RioLaPlata,MiscCrop_RioLaPlata_IRR_lo,2030,water_td_irr_RioLaPlata_W,0.13120524
Uruguay,MiscCrop,MiscCrop_RioLaPlata,MiscCrop_RioLaPlata_IRR_lo,2035,water_td_irr_RioLaPlata_W,0.13120524
Uruguay,MiscCrop,MiscCrop_RioLaPlata,MiscCrop_RioLaPlata_IRR_lo,2040,water_td_irr_RioLaPlata_W,0.13120524
Uruguay,MiscCrop,MiscCrop_RioLaPlata,MiscCrop_RioLaPlata_IRR_lo,2045,water_td_irr_RioLaPlata_W,0.13120524
Uruguay,MiscCrop,MiscCrop_RioLaPlata,MiscCrop_RioLaPlata_IRR_lo,2050,water_td_irr_RioLaPlata_W,0.13120524
Uruguay,MiscCrop,MiscCrop_RioLaPlata,MiscCrop_RioLaPlata_IRR_lo,2055,water_td_irr_RioLaPlata_W,0.13120524
Uruguay,MiscCrop,MiscCrop_RioLaPlata,MiscCrop_RioLaPlata_IRR_lo,2060,water_td_irr_RioLaPlata_W,0.13120524
Uruguay,MiscCrop,MiscCrop_RioLaPlata,MiscCrop_RioLaPlata_IRR_lo,2065,water_td_irr_RioLaPlata_W,0.13120524
Uruguay,MiscCrop,MiscCrop_RioLaPlata,MiscCrop_RioLaPlata_IRR_lo,2070,water_td_irr_RioLaPlata_W,0.13120524
Uruguay,MiscCrop,MiscCrop_RioLaPlata,MiscCrop_RioLaPlata_IRR_lo,2075,water_td_irr_RioLaPlata_W,0.13120524
Uruguay,MiscCrop,MiscCrop_RioLaPlata,MiscCrop_RioLaPlata_IRR_lo,2080,water_td_irr_RioLaPlata_W,0.13120524
Uruguay,MiscCrop,MiscCrop_RioLaPlata,MiscCrop_RioLaPlata_IRR_lo,2085,water_td_irr_RioLaPlata_W,0.13120524
Uruguay,MiscCrop,MiscCrop_RioLaPlata,MiscCrop_RioLaPlata_IRR_lo,2090,water_td_irr_RioLaPlata_W,0.13120524
Uruguay,MiscCrop,MiscCrop_RioLaPlata,MiscCrop_RioLaPlata_IRR_lo,2095,water_td_irr_RioLaPlata_W,0.13120524
Uruguay,MiscCrop,MiscCrop_RioLaPlata,MiscCrop_RioLaPlata_IRR_lo,2100,water_td_irr_RioLaPlata_W,0.13120524
Uruguay,OilCrop,OilCrop_BrzCstS,OilCrop_BrzCstS_IRR_hi,1975,water_td_irr_BrzCstS_W,1.5558903
Uruguay,OilCrop,OilCrop_BrzCstS,OilCrop_BrzCstS_IRR_hi,1990,water_td_irr_BrzCstS_W,1.5558903
Uruguay,OilCrop,OilCrop_BrzCstS,OilCrop_BrzCstS_IRR_hi,2005,water_td_irr_BrzCstS_W,1.5558903
Uruguay,OilCrop,OilCrop_BrzCstS,OilCrop_BrzCstS_IRR_hi,2010,water_td_irr_BrzCstS_W,1.5558903
Uruguay,OilCrop,OilCrop_BrzCstS,OilCrop_BrzCstS_IRR_hi,2015,water_td_irr_BrzCstS_W,1.5558903
Uruguay,OilCrop,OilCrop_BrzCstS,OilCrop_BrzCstS_IRR_hi,2020,water_td_irr_BrzCstS_W,1.5558903
Uruguay,OilCrop,OilCrop_BrzCstS,OilCrop_BrzCstS_IRR_hi,2025,water_td_irr_BrzCstS_W,1.5558903
Uruguay,OilCrop,OilCrop_BrzCstS,OilCrop_BrzCstS_IRR_hi,2030,water_td_irr_BrzCstS_W,1.5558903
Uruguay,OilCrop,OilCrop_BrzCstS,OilCrop_BrzCstS_IRR_hi,2035,water_td_irr_BrzCstS_W,1.5558903
Uruguay,OilCrop,OilCrop_BrzCstS,OilCrop_BrzCstS_IRR_hi,2040,water_td_irr_BrzCstS_W,1.5558903
Uruguay,OilCrop,OilCrop_BrzCstS,OilCrop_BrzCstS_IRR_hi,2045,water_td_irr_BrzCstS_W,1.5558903
Uruguay,OilCrop,OilCrop_BrzCstS,OilCrop_BrzCstS_IRR_hi,2050,water_td_irr_BrzCstS_W,1.5558903
Uruguay,OilCrop,OilCrop_BrzCstS,OilCrop_BrzCstS_IRR_hi,2055,water_td_irr_BrzCstS_W,1.5558903
Uruguay,OilCrop,OilCrop_BrzCstS,OilCrop_BrzCstS_IRR_hi,2060,water_td_irr_BrzCstS_W,1.5558903
Uruguay,OilCrop,OilCrop_BrzCstS,OilCrop_BrzCstS_IRR_hi,2065,water_td_irr_BrzCstS_W,1.5558903
Uruguay,OilCrop,OilCrop_BrzCstS,OilCrop_BrzCstS_IRR_hi,2070,water_td_irr_BrzCstS_W,1.5558903
Uruguay,OilCrop,OilCrop_BrzCstS,OilCrop_BrzCstS_IRR_hi,2075,water_td_irr_BrzCstS_W,1.5558903
Uruguay,OilCrop,OilCrop_BrzCstS,OilCrop_BrzCstS_IRR_hi,2080,water_td_irr_BrzCstS_W,1.5558903
Uruguay,OilCrop,OilCrop_BrzCstS,OilCrop_BrzCstS_IRR_hi,2085,water_td_irr_BrzCstS_W,1.5558903
Uruguay,OilCrop,OilCrop_BrzCstS,OilCrop_BrzCstS_IRR_hi,2090,water_td_irr_BrzCstS_W,1.5558903
Uruguay,OilCrop,OilCrop_BrzCstS,OilCrop_BrzCstS_IRR_hi,2095,water_td_irr_BrzCstS_W,1.5558903
Uruguay,OilCrop,OilCrop_BrzCstS,OilCrop_BrzCstS_IRR_hi,2100,water_td_irr_BrzCstS_W,1.5558903
